rooms,sq_m,floor,floors_all,year,price,area1,area2,area3,area4,area5,area6,area7,area8
3,70.0,4.0,8.0,1977,53000000,0,0,1,0,0,0,0,0
2,60.0,5.0,5.0,1979,47000000,1,0,0,0,0,0,0,0
3,63.0,2.0,5.0,1984,40500000,0,1,0,0,0,0,0,0
2,66.9,2.0,3.0,2021,43500000,0,0,0,0,1,0,0,0
3,150.0,5.0,18.0,2010,191000000,0,0,1,0,0,0,0,0
1,33.0,2.0,4.0,1979,24500000,1,0,0,0,0,0,0,0
2,46.0,4.0,4.0,1963,24400000,0,1,0,0,0,0,0,0
4,142.0,11.0,18.0,2015,139000000,0,0,1,0,0,0,0,0
3,120.0,5.0,12.0,2013,167900000,0,0,0,0,1,0,0,0
2,56.0,2.0,4.0,2018,28000000,0,0,0,0,0,0,0,1
2,44.1,2.0,5.0,1976,37000000,0,0,1,0,0,0,0,0
2,66.0,7.0,9.0,2011,33500000,0,0,0,0,0,0,0,0
3,77.0,4.0,7.0,1987,62000000,1,0,0,0,0,0,0,0
3,92.0,3.0,13.0,2021,88000000,0,0,1,0,0,0,0,0
2,45.0,3.0,5.0,1983,28000000,0,0,0,1,0,0,0,0
2,52.4,1.0,5.0,1985,38500000,1,0,0,0,0,0,0,0
3,70.4,7.0,12.0,2019,45000000,0,0,0,0,0,0,0,0
3,58.6,2.0,4.0,1962,33000000,0,1,0,0,0,0,0,0
3,70.5,5.0,5.0,1990,47500000,0,1,0,0,0,0,0,0
2,108.0,12.0,14.0,2012,38000000,0,0,0,0,0,1,0,0
1,24.0,1.0,2.0,2007,10800000,0,0,0,0,0,0,0,0
2,54.0,1.0,5.0,1984,36000000,0,1,0,0,0,0,0,0
3,67.0,8.0,9.0,1993,35000000,1,0,0,0,0,0,0,0
3,85.0,8.0,9.0,1988,45000000,0,1,0,0,0,0,0,0
2,64.5,1.0,6.0,2008,29000000,0,0,0,1,0,0,0,0
3,45.0,1.0,2.0,1964,17000000,0,0,0,0,0,0,0,1
1,39.4,1.0,5.0,1985,40000000,0,0,0,0,1,0,0,0
2,65.0,5.0,6.0,2014,38500000,0,0,0,0,0,0,0,1
2,65.0,2.0,4.0,1985,38000000,1,0,0,0,0,0,0,0
3,63.0,1.0,4.0,1968,37999999,0,1,0,0,0,0,0,0
4,75.0,2.0,5.0,1988,49000000,1,0,0,0,0,0,0,0
3,82.6,6.0,6.0,2009,30000000,0,0,0,1,0,0,0,0
3,84.0,6.0,16.0,2014,61000000,0,0,1,0,0,0,0,0
3,66.0,1.0,5.0,1981,34500000,0,1,0,0,0,0,0,0
2,70.0,2.0,15.0,2014,54000000,0,0,1,0,0,0,0,0
2,41.0,7.0,8.0,2017,25500000,0,0,0,0,0,0,0,0
1,30.0,3.0,4.0,1963,23990000,1,0,0,0,0,0,0,0
4,72.0,2.0,5.0,1981,52000000,0,1,0,0,0,0,0,0
3,60.0,2.0,4.0,1966,32500000,1,0,0,0,0,0,0,0
3,70.0,2.0,9.0,1989,45000000,0,1,0,0,0,0,0,0
3,120.0,7.0,13.0,2007,81000000,1,0,0,0,0,0,0,0
3,100.0,11.0,13.0,2016,79000000,0,0,1,0,0,0,0,0
3,66.7,5.0,9.0,1980,61000000,1,0,0,0,0,0,0,0
2,42.5,3.0,5.0,1985,27500000,0,0,0,0,0,0,0,1
2,39.0,1.0,5.0,1973,8500000,0,0,1,0,0,0,0,0
3,130.3,11.0,16.0,2012,50000000,0,0,0,0,0,1,0,0
4,102.0,2.0,6.0,2003,80000000,0,0,0,0,1,0,0,0
1,49.9,2.0,5.0,2018,31000000,0,0,0,0,1,0,0,0
